filter,n,max_tries,b,search_total_time,insert_total_time,insert_average_time
counting_cuckoo,500,4,483,0.0033,0.0036,0.0036
cuckoo,100,8,483,0.0026,0.0037,0.0037
cuckoo,500,4,483,0.0026,0.0039,0.0039
counting_cuckoo,100,8,503,0.0028,0.006,0.006
counting_cuckoo,500,4,503,0.0026,0.0039,0.0039
cuckoo,100,8,503,0.0027,0.0039,0.0039
cuckoo,500,4,503,0.0034,0.0044,0.0044
counting_cuckoo,100,8,523,0.0027,0.0037,0.0037
counting_cuckoo,500,4,523,0.0026,0.0041,0.0041
cuckoo,100,8,523,0.0029,0.0037,0.0037
cuckoo,500,4,523,0.0028,0.0042,0.0042
counting_cuckoo,100,8,543,0.0026,0.0037,0.0037
counting_cuckoo,500,4,543,0.0028,0.0039,0.0039
cuckoo,100,8,543,0.0028,0.004,0.004
cuckoo,500,4,543,0.0028,0.0038,0.0038
counting_cuckoo,100,8,563,0.0026,0.0038,0.0038
counting_cuckoo,500,4,563,0.0032,0.004,0.004
cuckoo,100,8,563,0.003,0.0041,0.0041
cuckoo,500,4,563,0.0027,0.0036,0.0036
counting_cuckoo,100,8,583,0.0026,0.0043,0.0043
counting_cuckoo,500,4,583,0.0035,0.0038,0.0038
cuckoo,100,8,583,0.0031,0.004,0.004
cuckoo,500,4,583,0.0028,0.0038,0.0038
counting_cuckoo,100,8,603,0.0036,0.0037,0.0037
counting_cuckoo,500,4,603,0.0035,0.004,0.004
cuckoo,100,8,603,0.0031,0.0048,0.0048
cuckoo,500,4,603,0.006,0.0087,0.0087
counting_cuckoo,100,8,623,0.0028,0.0037,0.0037
counting_cuckoo,500,4,623,0.0027,0.0038,0.0038
cuckoo,100,8,623,0.0026,0.0036,0.0036
cuckoo,500,4,623,0.0025,0.0071,0.0071
counting_cuckoo,100,8,643,0.003,0.0041,0.0041
counting_cuckoo,500,4,643,0.0028,0.0043,0.0043
cuckoo,100,8,643,0.003,0.0041,0.0041
cuckoo,500,4,643,0.0027,0.004,0.004
counting_cuckoo,100,8,663,0.0031,0.0043,0.0043
counting_cuckoo,500,4,663,0.0029,0.0038,0.0038
cuckoo,100,8,663,0.0026,0.004,0.004
cuckoo,500,4,663,0.0028,0.004,0.004
counting_cuckoo,100,8,683,0.0026,0.0061,0.0061
counting_cuckoo,500,4,683,0.0027,0.0042,0.0042
cuckoo,100,8,683,0.0026,0.0037,0.0037
cuckoo,500,4,683,0.0032,0.004,0.004
counting_cuckoo,100,8,703,0.0028,0.0035,0.0035
counting_cuckoo,500,4,703,0.003,0.0039,0.0039
cuckoo,100,8,703,0.0027,0.0037,0.0037
cuckoo,500,4,703,0.0026,0.0039,0.0039
counting_cuckoo,100,8,723,0.0028,0.0039,0.0039
counting_cuckoo,500,4,723,0.0027,0.0039,0.0039
cuckoo,100,8,723,0.0025,0.0038,0.0038
cuckoo,500,4,723,0.0026,0.0042,0.0042
counting_cuckoo,100,8,743,0.003,0.0047,0.0047
counting_cuckoo,500,4,743,0.0039,0.0037,0.0037
cuckoo,100,8,743,0.0025,0.0037,0.0037
cuckoo,500,4,743,0.0034,0.0038,0.0038
