filter,n,max_tries,b,search_total_time,insert_total_time,insert_average_time
counting_cuckoo,500,4,2403,0.0089,0.0523,0.0523
cuckoo,100,8,2403,0.0031,0.0042,0.0042
cuckoo,500,4,2403,0.0028,0.0041,0.0041
counting_cuckoo,100,8,2423,0.0031,0.0042,0.0042
counting_cuckoo,500,4,2423,0.0046,0.0453,0.0453
cuckoo,100,8,2423,0.0036,0.004,0.004
cuckoo,500,4,2423,0.003,0.0044,0.0044
counting_cuckoo,100,8,2443,0.0031,0.0041,0.0041
counting_cuckoo,500,4,2443,0.0029,0.0045,0.0045
cuckoo,100,8,2443,0.0035,0.0039,0.0039
cuckoo,500,4,2443,0.0034,0.0039,0.0039
counting_cuckoo,100,8,2463,0.0092,0.0235,0.0235
counting_cuckoo,500,4,2463,0.0047,0.0068,0.0068
cuckoo,100,8,2463,0.0038,0.0052,0.0052
cuckoo,500,4,2463,0.0029,0.0038,0.0038
counting_cuckoo,100,8,2483,0.0038,0.0048,0.0048
counting_cuckoo,500,4,2483,0.0069,0.0403,0.0403
cuckoo,100,8,2483,0.0053,0.0041,0.0041
cuckoo,500,4,2483,0.0031,0.0037,0.0037
counting_cuckoo,100,8,2503,0.0028,0.0076,0.0076
counting_cuckoo,500,4,2503,0.0032,0.0041,0.0041
cuckoo,100,8,2503,0.0031,0.0045,0.0045
cuckoo,500,4,2503,0.003,0.0038,0.0038
counting_cuckoo,100,8,2523,0.003,0.0039,0.0039
counting_cuckoo,500,4,2523,0.0064,0.0041,0.0041
cuckoo,100,8,2523,0.0036,0.0042,0.0042
cuckoo,500,4,2523,0.0036,0.0074,0.0074
counting_cuckoo,100,8,2543,0.0042,0.0039,0.0039
counting_cuckoo,500,4,2543,0.0042,0.0048,0.0048
cuckoo,100,8,2543,0.0042,0.0048,0.0048
cuckoo,500,4,2543,0.0036,0.0056,0.0056
counting_cuckoo,100,8,2563,0.004,0.0224,0.0224
counting_cuckoo,500,4,2563,0.0032,0.0042,0.0042
cuckoo,100,8,2563,0.0028,0.0037,0.0037
cuckoo,500,4,2563,0.0032,0.004,0.004
counting_cuckoo,100,8,2583,0.0031,0.0042,0.0042
counting_cuckoo,500,4,2583,0.0043,0.004,0.004
cuckoo,100,8,2583,0.0031,0.0038,0.0038
cuckoo,500,4,2583,0.0033,0.0041,0.0041
counting_cuckoo,100,8,2603,0.0037,0.0067,0.0067
counting_cuckoo,500,4,2603,0.0034,0.0044,0.0044
cuckoo,100,8,2603,0.0038,0.0037,0.0037
cuckoo,500,4,2603,0.0035,0.0045,0.0045
counting_cuckoo,100,8,2623,0.003,0.0039,0.0039
counting_cuckoo,500,4,2623,0.0029,0.004,0.004
cuckoo,100,8,2623,0.0032,0.004,0.004
cuckoo,500,4,2623,0.003,0.0039,0.0039
counting_cuckoo,100,8,2643,0.0041,0.005,0.005
counting_cuckoo,500,4,2643,0.0061,0.012,0.012
cuckoo,100,8,2643,0.0055,0.0045,0.0045
cuckoo,500,4,2643,0.0035,0.0049,0.0049
counting_cuckoo,100,8,2663,0.0043,0.004,0.004
counting_cuckoo,500,4,2663,0.0033,0.0039,0.0039
cuckoo,100,8,2663,0.0029,0.0045,0.0045
cuckoo,500,4,2663,0.0034,0.004,0.004
counting_cuckoo,100,8,2683,0.0033,0.0045,0.0045
counting_cuckoo,500,4,2683,0.003,0.0092,0.0092
cuckoo,100,8,2683,0.0085,0.0053,0.0053
cuckoo,500,4,2683,0.0029,0.0038,0.0038
counting_cuckoo,100,8,2703,0.0029,0.0044,0.0044
counting_cuckoo,500,4,2703,0.0037,0.0153,0.0153
cuckoo,100,8,2703,0.003,0.0037,0.0037
cuckoo,500,4,2703,0.0033,0.0039,0.0039
counting_cuckoo,100,8,2723,0.0028,0.0044,0.0044
counting_cuckoo,500,4,2723,0.003,0.0042,0.0042
cuckoo,100,8,2723,0.0031,0.0043,0.0043
cuckoo,500,4,2723,0.0031,0.0041,0.0041
counting_cuckoo,100,8,2743,0.0027,0.0038,0.0038
counting_cuckoo,500,4,2743,0.0056,0.0057,0.0057
cuckoo,100,8,2743,0.0071,0.0176,0.0176
cuckoo,500,4,2743,0.003,0.0039,0.0039
counting_cuckoo,100,8,2763,0.0029,0.004,0.004
counting_cuckoo,500,4,2763,0.0029,0.0039,0.0039
cuckoo,100,8,2763,0.0032,0.004,0.004
cuckoo,500,4,2763,0.0039,0.0102,0.0102
counting_cuckoo,100,8,2783,0.0029,0.004,0.004
counting_cuckoo,500,4,2783,0.0032,0.0037,0.0037
cuckoo,100,8,2783,0.0031,0.0173,0.0173
cuckoo,500,4,2783,0.0043,0.0609,0.0609
counting_cuckoo,100,8,2803,0.0042,0.0044,0.0044
counting_cuckoo,500,4,2803,0.0051,0.007,0.007
cuckoo,100,8,2803,0.003,0.0751,0.0751
cuckoo,500,4,2803,0.0102,0.0063,0.0063
counting_cuckoo,100,8,2823,0.0033,0.0149,0.0149
counting_cuckoo,500,4,2823,0.0029,0.0046,0.0046
cuckoo,100,8,2823,0.0047,0.0049,0.0049
cuckoo,500,4,2823,0.0051,0.0183,0.0183
counting_cuckoo,100,8,2843,0.0066,0.006,0.006
counting_cuckoo,500,4,2843,0.003,0.0047,0.0047
cuckoo,100,8,2843,0.0028,0.004,0.004
cuckoo,500,4,2843,0.0054,0.0047,0.0047
counting_cuckoo,100,8,2863,0.0065,0.0041,0.0041
counting_cuckoo,500,4,2863,0.0034,0.0039,0.0039
cuckoo,100,8,2863,0.0042,0.0039,0.0039
cuckoo,500,4,2863,0.0039,0.0043,0.0043
counting_cuckoo,100,8,2883,0.0071,0.0057,0.0057
counting_cuckoo,500,4,2883,0.003,0.0078,0.0078
cuckoo,100,8,2883,0.0033,0.0044,0.0044
cuckoo,500,4,2883,0.0032,0.004,0.004
counting_cuckoo,100,8,2903,0.003,0.0041,0.0041
counting_cuckoo,500,4,2903,0.0039,0.0043,0.0043
cuckoo,100,8,2903,0.005,0.0099,0.0099
cuckoo,500,4,2903,0.0059,0.0067,0.0067
counting_cuckoo,100,8,2923,0.0034,0.0474,0.0474
counting_cuckoo,500,4,2923,0.0039,0.0039,0.0039
cuckoo,100,8,2923,0.0028,0.004,0.004
cuckoo,500,4,2923,0.0032,0.0042,0.0042
counting_cuckoo,100,8,2943,0.0049,0.0043,0.0043
counting_cuckoo,500,4,2943,0.0031,0.0045,0.0045
cuckoo,100,8,2943,0.003,0.0155,0.0155
cuckoo,500,4,2943,0.0034,0.0043,0.0043
counting_cuckoo,100,8,2963,0.0039,0.0041,0.0041
counting_cuckoo,500,4,2963,0.0038,0.0074,0.0074
cuckoo,100,8,2963,0.0031,0.0039,0.0039
cuckoo,500,4,2963,0.0042,0.0042,0.0042
counting_cuckoo,100,8,2983,0.0029,0.0048,0.0048
counting_cuckoo,500,4,2983,0.0039,0.0043,0.0043
cuckoo,100,8,2983,0.0053,0.0188,0.0188
cuckoo,500,4,2983,0.0027,0.0043,0.0043
counting_cuckoo,100,8,3003,0.0038,0.0057,0.0057
counting_cuckoo,500,4,3003,0.0028,0.0046,0.0046
cuckoo,100,8,3003,0.0034,0.0041,0.0041
cuckoo,500,4,3003,0.0031,0.0043,0.0043
counting_cuckoo,100,8,3023,0.0029,0.0141,0.0141
counting_cuckoo,500,4,3023,0.003,0.0047,0.0047
cuckoo,100,8,3023,0.003,0.004,0.004
cuckoo,500,4,3023,0.0032,0.0041,0.0041
counting_cuckoo,100,8,3043,0.0036,0.0046,0.0046
counting_cuckoo,500,4,3043,0.0031,0.0041,0.0041
cuckoo,100,8,3043,0.0028,0.0083,0.0083
cuckoo,500,4,3043,0.003,0.0042,0.0042
counting_cuckoo,100,8,3063,0.0029,0.0039,0.0039
counting_cuckoo,500,4,3063,0.0029,0.0042,0.0042
cuckoo,100,8,3063,0.0032,0.0036,0.0036
cuckoo,500,4,3063,0.003,0.004,0.004
counting_cuckoo,100,8,3083,0.0028,0.0038,0.0038
counting_cuckoo,500,4,3083,0.0034,0.0044,0.0044
cuckoo,100,8,3083,0.0028,0.0038,0.0038
cuckoo,500,4,3083,0.0029,0.0043,0.0043
counting_cuckoo,100,8,3103,0.003,0.0044,0.0044
counting_cuckoo,500,4,3103,0.0032,0.004,0.004
cuckoo,100,8,3103,0.003,0.0039,0.0039
cuckoo,500,4,3103,0.0031,0.0042,0.0042
counting_cuckoo,100,8,3123,0.0034,0.0039,0.0039
counting_cuckoo,500,4,3123,0.0034,0.0079,0.0079
cuckoo,100,8,3123,0.003,0.0037,0.0037
cuckoo,500,4,3123,0.0034,0.0045,0.0045
counting_cuckoo,100,8,3143,0.0037,0.0064,0.0064
counting_cuckoo,500,4,3143,0.0036,0.0039,0.0039
cuckoo,100,8,3143,0.0031,0.0044,0.0044
cuckoo,500,4,3143,0.0033,0.0038,0.0038
counting_cuckoo,100,8,3163,0.0031,0.0075,0.0075
counting_cuckoo,500,4,3163,0.0035,0.0039,0.0039
cuckoo,100,8,3163,0.003,0.0043,0.0043
cuckoo,500,4,3163,0.0032,0.0044,0.0044
counting_cuckoo,100,8,3183,0.0041,0.0173,0.0173
counting_cuckoo,500,4,3183,0.0039,0.004,0.004
cuckoo,100,8,3183,0.0034,0.0039,0.0039
cuckoo,500,4,3183,0.0033,0.0052,0.0052
counting_cuckoo,100,8,3203,0.0037,0.0035,0.0035
counting_cuckoo,500,4,3203,0.004,0.0058,0.0058
cuckoo,100,8,3203,0.0047,0.0057,0.0057
cuckoo,500,4,3203,0.0046,0.0078,0.0078
counting_cuckoo,100,8,3223,0.0049,0.0471,0.0471
counting_cuckoo,500,4,3223,0.0062,0.0133,0.0133
cuckoo,100,8,3223,0.0058,0.0813,0.0813
cuckoo,500,4,3223,0.0038,0.0056,0.0056
counting_cuckoo,100,8,3243,0.0039,0.0059,0.0059
counting_cuckoo,500,4,3243,0.0039,0.0088,0.0088
cuckoo,100,8,3243,0.0038,0.0084,0.0084
cuckoo,500,4,3243,0.0061,0.0085,0.0085
counting_cuckoo,100,8,3263,0.0039,0.009,0.009
counting_cuckoo,500,4,3263,0.004,0.0061,0.0061
cuckoo,100,8,3263,0.0041,0.0058,0.0058
cuckoo,500,4,3263,0.004,0.0062,0.0062
counting_cuckoo,100,8,3283,0.0038,0.0054,0.0054
counting_cuckoo,500,4,3283,0.0051,0.0059,0.0059
cuckoo,100,8,3283,0.0036,0.0057,0.0057
cuckoo,500,4,3283,0.0037,0.0055,0.0055
counting_cuckoo,100,8,3303,0.004,0.0056,0.0056
counting_cuckoo,500,4,3303,0.004,0.0054,0.0054
cuckoo,100,8,3303,0.0041,0.0062,0.0062
cuckoo,500,4,3303,0.0064,0.0056,0.0056
counting_cuckoo,100,8,3323,0.0072,0.0058,0.0058
counting_cuckoo,500,4,3323,0.004,0.0059,0.0059
cuckoo,100,8,3323,0.0047,0.0055,0.0055
cuckoo,500,4,3323,0.0052,0.0092,0.0092
counting_cuckoo,100,8,3343,0.0039,0.0057,0.0057
counting_cuckoo,500,4,3343,0.0045,0.0104,0.0104
cuckoo,100,8,3343,0.0039,0.0061,0.0061
cuckoo,500,4,3343,0.0037,0.0058,0.0058
counting_cuckoo,100,8,3363,0.0062,0.0064,0.0064
counting_cuckoo,500,4,3363,0.0041,0.0078,0.0078
cuckoo,100,8,3363,0.0037,0.0062,0.0062
cuckoo,500,4,3363,0.0053,0.0143,0.0143
counting_cuckoo,100,8,3383,0.0051,0.0158,0.0158
counting_cuckoo,500,4,3383,0.0047,0.0054,0.0054
cuckoo,100,8,3383,0.004,0.0056,0.0056
cuckoo,500,4,3383,0.0049,0.008,0.008
counting_cuckoo,100,8,3403,0.0046,0.006,0.006
counting_cuckoo,500,4,3403,0.0047,0.0104,0.0104
cuckoo,100,8,3403,0.0041,0.0061,0.0061
cuckoo,500,4,3403,0.0045,0.008,0.008
counting_cuckoo,100,8,3423,0.0045,0.006,0.006
counting_cuckoo,500,4,3423,0.0044,0.0058,0.0058
cuckoo,100,8,3423,0.0038,0.0052,0.0052
cuckoo,500,4,3423,0.0053,0.0075,0.0075
counting_cuckoo,100,8,3443,0.0053,0.0061,0.0061
counting_cuckoo,500,4,3443,0.0042,0.0054,0.0054
cuckoo,100,8,3443,0.0041,0.0112,0.0112
cuckoo,500,4,3443,0.0058,0.0084,0.0084
counting_cuckoo,100,8,3463,0.0045,0.0057,0.0057
counting_cuckoo,500,4,3463,0.0052,0.0062,0.0062
cuckoo,100,8,3463,0.0042,0.0078,0.0078
cuckoo,500,4,3463,0.0039,0.0113,0.0113
counting_cuckoo,100,8,3483,0.0038,0.0104,0.0104
counting_cuckoo,500,4,3483,0.0038,0.0057,0.0057
cuckoo,100,8,3483,0.004,0.0054,0.0054
cuckoo,500,4,3483,0.0056,0.0088,0.0088
counting_cuckoo,100,8,3503,0.005,0.0065,0.0065
counting_cuckoo,500,4,3503,0.0039,0.0055,0.0055
cuckoo,100,8,3503,0.0072,0.0204,0.0204
cuckoo,500,4,3503,0.0037,0.0057,0.0057
counting_cuckoo,100,8,3523,0.0042,0.0058,0.0058
counting_cuckoo,500,4,3523,0.0055,0.0056,0.0056
cuckoo,100,8,3523,0.0038,0.0054,0.0054
cuckoo,500,4,3523,0.0042,0.0053,0.0053
counting_cuckoo,100,8,3543,0.0048,0.0118,0.0118
counting_cuckoo,500,4,3543,0.0039,0.0057,0.0057
cuckoo,100,8,3543,0.0037,0.0053,0.0053
cuckoo,500,4,3543,0.0038,0.0054,0.0054
counting_cuckoo,100,8,3563,0.0046,0.0068,0.0068
counting_cuckoo,500,4,3563,0.0047,0.0187,0.0187
cuckoo,100,8,3563,0.0038,0.0056,0.0056
cuckoo,500,4,3563,0.004,0.0056,0.0056
counting_cuckoo,100,8,3583,0.004,0.0058,0.0058
counting_cuckoo,500,4,3583,0.0046,0.006,0.006
cuckoo,100,8,3583,0.0042,0.0056,0.0056
cuckoo,500,4,3583,0.0045,0.0054,0.0054
counting_cuckoo,100,8,3603,0.0041,0.0053,0.0053
counting_cuckoo,500,4,3603,0.004,0.0057,0.0057
cuckoo,100,8,3603,0.0046,0.0058,0.0058
cuckoo,500,4,3603,0.0039,0.0057,0.0057
counting_cuckoo,100,8,3623,0.0044,0.0095,0.0095
counting_cuckoo,500,4,3623,0.0052,0.0074,0.0074
cuckoo,100,8,3623,0.004,0.0071,0.0071
cuckoo,500,4,3623,0.0039,0.006,0.006
counting_cuckoo,100,8,3643,0.0042,0.0056,0.0056
counting_cuckoo,500,4,3643,0.0043,0.0068,0.0068
cuckoo,100,8,3643,0.0051,0.0061,0.0061
cuckoo,500,4,3643,0.0046,0.0061,0.0061
counting_cuckoo,100,8,3663,0.0039,0.0055,0.0055
counting_cuckoo,500,4,3663,0.0062,0.0071,0.0071
cuckoo,100,8,3663,0.0037,0.0051,0.0051
cuckoo,500,4,3663,0.0049,0.0073,0.0073
counting_cuckoo,100,8,3683,0.0042,0.0064,0.0064
counting_cuckoo,500,4,3683,0.0039,0.0061,0.0061
cuckoo,100,8,3683,0.0037,0.0056,0.0056
cuckoo,500,4,3683,0.0039,0.0284,0.0284
counting_cuckoo,100,8,3703,0.0038,0.0055,0.0055
counting_cuckoo,500,4,3703,0.0041,0.0055,0.0055
cuckoo,100,8,3703,0.0037,0.006,0.006
cuckoo,500,4,3703,0.0038,0.0051,0.0051
counting_cuckoo,100,8,3723,0.0042,0.0053,0.0053
counting_cuckoo,500,4,3723,0.004,0.0057,0.0057
cuckoo,100,8,3723,0.0038,0.0061,0.0061
cuckoo,500,4,3723,0.0038,0.0051,0.0051
counting_cuckoo,100,8,3743,0.0041,0.0126,0.0126
counting_cuckoo,500,4,3743,0.0041,0.007,0.007
cuckoo,100,8,3743,0.0037,0.0053,0.0053
cuckoo,500,4,3743,0.0039,0.0057,0.0057
counting_cuckoo,100,8,3763,0.0041,0.0053,0.0053
counting_cuckoo,500,4,3763,0.0041,0.0085,0.0085
cuckoo,100,8,3763,0.0039,0.0054,0.0054
cuckoo,500,4,3763,0.0039,0.0052,0.0052
counting_cuckoo,100,8,3783,0.0038,0.0059,0.0059
counting_cuckoo,500,4,3783,0.0038,0.0055,0.0055
cuckoo,100,8,3783,0.005,0.0057,0.0057
cuckoo,500,4,3783,0.0037,0.005,0.005
counting_cuckoo,100,8,3803,0.0038,0.0087,0.0087
counting_cuckoo,500,4,3803,0.0041,0.0054,0.0054
cuckoo,100,8,3803,0.0038,0.0056,0.0056
cuckoo,500,4,3803,0.0038,0.0101,0.0101
counting_cuckoo,100,8,3823,0.0039,0.006,0.006
counting_cuckoo,500,4,3823,0.0038,0.0054,0.0054
cuckoo,100,8,3823,0.004,0.0058,0.0058
cuckoo,500,4,3823,0.0039,0.0052,0.0052
counting_cuckoo,100,8,3843,0.004,0.0059,0.0059
counting_cuckoo,500,4,3843,0.0038,0.0055,0.0055
cuckoo,100,8,3843,0.0037,0.0055,0.0055
cuckoo,500,4,3843,0.0039,0.0053,0.0053
counting_cuckoo,100,8,3863,0.0039,0.0051,0.0051
counting_cuckoo,500,4,3863,0.0039,0.0059,0.0059
cuckoo,100,8,3863,0.0037,0.0055,0.0055
cuckoo,500,4,3863,0.0037,0.0054,0.0054
counting_cuckoo,100,8,3883,0.0041,0.0056,0.0056
counting_cuckoo,500,4,3883,0.0039,0.0063,0.0063
cuckoo,100,8,3883,0.0039,0.0111,0.0111
cuckoo,500,4,3883,0.004,0.0052,0.0052
counting_cuckoo,100,8,3903,0.0039,0.0063,0.0063
counting_cuckoo,500,4,3903,0.0039,0.0055,0.0055
cuckoo,100,8,3903,0.0044,0.0062,0.0062
cuckoo,500,4,3903,0.0049,0.0072,0.0072
counting_cuckoo,100,8,3923,0.0048,0.0058,0.0058
counting_cuckoo,500,4,3923,0.0046,0.0054,0.0054
cuckoo,100,8,3923,0.0042,0.0064,0.0064
cuckoo,500,4,3923,0.0045,0.0055,0.0055
counting_cuckoo,100,8,3943,0.0042,0.0075,0.0075
counting_cuckoo,500,4,3943,0.0042,0.0059,0.0059
cuckoo,100,8,3943,0.0043,0.0054,0.0054
cuckoo,500,4,3943,0.0038,0.0104,0.0104
counting_cuckoo,100,8,3963,0.0043,0.0058,0.0058
counting_cuckoo,500,4,3963,0.0039,0.0057,0.0057
cuckoo,100,8,3963,0.0038,0.005,0.005
cuckoo,500,4,3963,0.004,0.0055,0.0055
counting_cuckoo,100,8,3983,0.0039,0.0052,0.0052
counting_cuckoo,500,4,3983,0.0044,0.0051,0.0051
cuckoo,100,8,3983,0.0044,0.0055,0.0055
cuckoo,500,4,3983,0.0039,0.0053,0.0053
counting_cuckoo,100,8,4003,0.0043,0.0063,0.0063
counting_cuckoo,500,4,4003,0.0044,0.0057,0.0057
cuckoo,100,8,4003,0.004,0.0067,0.0067
cuckoo,500,4,4003,0.0039,0.0052,0.0052
counting_cuckoo,100,8,4023,0.0039,0.0053,0.0053
counting_cuckoo,500,4,4023,0.0037,0.0052,0.0052
cuckoo,100,8,4023,0.0038,0.0058,0.0058
cuckoo,500,4,4023,0.0038,0.0055,0.0055
counting_cuckoo,100,8,4043,0.0042,0.0065,0.0065
counting_cuckoo,500,4,4043,0.004,0.0056,0.0056
cuckoo,100,8,4043,0.0037,0.0058,0.0058
cuckoo,500,4,4043,0.006,0.0063,0.0063
counting_cuckoo,100,8,4063,0.0043,0.0061,0.0061
counting_cuckoo,500,4,4063,0.0045,0.0087,0.0087
cuckoo,100,8,4063,0.0053,0.0088,0.0088
cuckoo,500,4,4063,0.0043,0.006,0.006
counting_cuckoo,100,8,4083,0.0038,0.0056,0.0056
counting_cuckoo,500,4,4083,0.0056,0.0053,0.0053
cuckoo,100,8,4083,0.0039,0.0053,0.0053
cuckoo,500,4,4083,0.0038,0.0059,0.0059
counting_cuckoo,100,8,4103,0.0043,0.0055,0.0055
counting_cuckoo,500,4,4103,0.0038,0.0059,0.0059
cuckoo,100,8,4103,0.0054,0.0059,0.0059
cuckoo,500,4,4103,0.006,0.0135,0.0135
counting_cuckoo,100,8,4123,0.004,0.0087,0.0087
counting_cuckoo,500,4,4123,0.004,0.0065,0.0065
cuckoo,100,8,4123,0.0039,0.005,0.005
cuckoo,500,4,4123,0.0046,0.0062,0.0062
counting_cuckoo,100,8,4143,0.004,0.0068,0.0068
counting_cuckoo,500,4,4143,0.0045,0.0059,0.0059
cuckoo,100,8,4143,0.0043,0.0064,0.0064
cuckoo,500,4,4143,0.0039,0.0064,0.0064
counting_cuckoo,100,8,4163,0.0041,0.006,0.006
counting_cuckoo,500,4,4163,0.0042,0.0057,0.0057
cuckoo,100,8,4163,0.004,0.006,0.006
cuckoo,500,4,4163,0.0061,0.0079,0.0079
counting_cuckoo,100,8,4183,0.0059,0.0089,0.0089
counting_cuckoo,500,4,4183,0.0048,0.0087,0.0087
cuckoo,100,8,4183,0.0053,0.0064,0.0064
cuckoo,500,4,4183,0.0047,0.0233,0.0233
counting_cuckoo,100,8,4203,0.0038,0.0055,0.0055
counting_cuckoo,500,4,4203,0.0043,0.0072,0.0072
cuckoo,100,8,4203,0.0052,0.0066,0.0066
cuckoo,500,4,4203,0.0056,0.0121,0.0121
counting_cuckoo,100,8,4223,0.0059,0.0129,0.0129
counting_cuckoo,500,4,4223,0.0042,0.0055,0.0055
cuckoo,100,8,4223,0.0054,0.0074,0.0074
cuckoo,500,4,4223,0.0046,0.0098,0.0098
counting_cuckoo,100,8,4243,0.0043,0.0094,0.0094
counting_cuckoo,500,4,4243,0.0053,0.0075,0.0075
cuckoo,100,8,4243,0.005,0.0235,0.0235
cuckoo,500,4,4243,0.0067,0.1187,0.1187
counting_cuckoo,100,8,4263,0.0044,0.0062,0.0062
counting_cuckoo,500,4,4263,0.0047,0.0105,0.0105
cuckoo,100,8,4263,0.004,0.0059,0.0059
cuckoo,500,4,4263,0.0072,0.0064,0.0064
counting_cuckoo,100,8,4283,0.0041,0.0063,0.0063
counting_cuckoo,500,4,4283,0.0044,0.0088,0.0088
cuckoo,100,8,4283,0.0038,0.0347,0.0347
cuckoo,500,4,4283,0.0039,0.0066,0.0066
counting_cuckoo,100,8,4303,0.0069,0.0121,0.0121
counting_cuckoo,500,4,4303,0.004,0.0068,0.0068
cuckoo,100,8,4303,0.0055,0.0081,0.0081
cuckoo,500,4,4303,0.004,0.0052,0.0052
counting_cuckoo,100,8,4323,0.0043,0.0058,0.0058
counting_cuckoo,500,4,4323,0.0045,0.0065,0.0065
cuckoo,100,8,4323,0.004,0.0057,0.0057
cuckoo,500,4,4323,0.0051,0.0068,0.0068
counting_cuckoo,100,8,4343,0.004,0.0057,0.0057
counting_cuckoo,500,4,4343,0.0042,0.006,0.006
cuckoo,100,8,4343,0.0037,0.0056,0.0056
cuckoo,500,4,4343,0.0042,0.0069,0.0069
counting_cuckoo,100,8,4363,0.0039,0.0058,0.0058
counting_cuckoo,500,4,4363,0.0099,0.0076,0.0076
cuckoo,100,8,4363,0.0055,0.0086,0.0086
cuckoo,500,4,4363,0.0057,0.0123,0.0123
counting_cuckoo,100,8,4383,0.0043,0.0054,0.0054
counting_cuckoo,500,4,4383,0.0041,0.0053,0.0053
cuckoo,100,8,4383,0.0055,0.0115,0.0115
cuckoo,500,4,4383,0.0059,0.0078,0.0078
counting_cuckoo,100,8,4403,0.0048,0.006,0.006
counting_cuckoo,500,4,4403,0.0042,0.0062,0.0062
cuckoo,100,8,4403,0.0044,0.0058,0.0058
cuckoo,500,4,4403,0.004,0.006,0.006
counting_cuckoo,100,8,4423,0.0062,0.007,0.007
counting_cuckoo,500,4,4423,0.0041,0.0065,0.0065
cuckoo,100,8,4423,0.0037,0.0054,0.0054
cuckoo,500,4,4423,0.0037,0.0055,0.0055
counting_cuckoo,100,8,4443,0.0063,0.0076,0.0076
counting_cuckoo,500,4,4443,0.0053,0.0057,0.0057
cuckoo,100,8,4443,0.004,0.0067,0.0067
cuckoo,500,4,4443,0.0049,0.0175,0.0175
counting_cuckoo,100,8,4463,0.0046,0.0054,0.0054
counting_cuckoo,500,4,4463,0.0046,0.0059,0.0059
cuckoo,100,8,4463,0.0045,0.0064,0.0064
cuckoo,500,4,4463,0.0041,0.0053,0.0053
counting_cuckoo,100,8,4483,0.0043,0.0062,0.0062
counting_cuckoo,500,4,4483,0.0041,0.0058,0.0058
cuckoo,100,8,4483,0.0041,0.0062,0.0062
cuckoo,500,4,4483,0.0064,0.0121,0.0121
counting_cuckoo,100,8,4503,0.0041,0.0069,0.0069
counting_cuckoo,500,4,4503,0.0039,0.0055,0.0055
cuckoo,100,8,4503,0.004,0.0055,0.0055
cuckoo,500,4,4503,0.0049,0.0067,0.0067
counting_cuckoo,100,8,4523,0.0045,0.0059,0.0059
counting_cuckoo,500,4,4523,0.0045,0.007,0.007
cuckoo,100,8,4523,0.0063,0.0232,0.0232
cuckoo,500,4,4523,0.0043,0.0093,0.0093
counting_cuckoo,100,8,4543,0.0046,0.0083,0.0083
counting_cuckoo,500,4,4543,0.0053,0.0067,0.0067
cuckoo,100,8,4543,0.0038,0.0057,0.0057
cuckoo,500,4,4543,0.0038,0.0075,0.0075
counting_cuckoo,100,8,4563,0.0043,0.0053,0.0053
counting_cuckoo,500,4,4563,0.004,0.0057,0.0057
cuckoo,100,8,4563,0.0059,0.0101,0.0101
cuckoo,500,4,4563,0.0043,0.0059,0.0059
counting_cuckoo,100,8,4583,0.0044,0.0055,0.0055
counting_cuckoo,500,4,4583,0.0056,0.0053,0.0053
cuckoo,100,8,4583,0.0038,0.0048,0.0048
cuckoo,500,4,4583,0.005,0.008,0.008
counting_cuckoo,100,8,4603,0.0077,0.0636,0.0636
counting_cuckoo,500,4,4603,0.0042,0.0106,0.0106
cuckoo,100,8,4603,0.004,0.0056,0.0056
cuckoo,500,4,4603,0.0041,0.0053,0.0053
counting_cuckoo,100,8,4623,0.0049,0.0067,0.0067
counting_cuckoo,500,4,4623,0.0042,0.0056,0.0056
cuckoo,100,8,4623,0.0038,0.0093,0.0093
cuckoo,500,4,4623,0.0064,0.0102,0.0102
counting_cuckoo,100,8,4643,0.0043,0.0058,0.0058
counting_cuckoo,500,4,4643,0.0041,0.0058,0.0058
cuckoo,100,8,4643,0.0079,0.0249,0.0249
cuckoo,500,4,4643,0.0045,0.0104,0.0104
counting_cuckoo,100,8,4663,0.0053,0.0063,0.0063
counting_cuckoo,500,4,4663,0.005,0.0074,0.0074
cuckoo,100,8,4663,0.0038,0.0071,0.0071
cuckoo,500,4,4663,0.0062,0.0058,0.0058
counting_cuckoo,100,8,4683,0.0047,0.0077,0.0077
counting_cuckoo,500,4,4683,0.0044,0.0065,0.0065
cuckoo,100,8,4683,0.0042,0.0055,0.0055
cuckoo,500,4,4683,0.0047,0.0096,0.0096
counting_cuckoo,100,8,4703,0.0048,0.0059,0.0059
counting_cuckoo,500,4,4703,0.0065,0.006,0.006
cuckoo,100,8,4703,0.0041,0.0055,0.0055
cuckoo,500,4,4703,0.004,0.0055,0.0055
counting_cuckoo,100,8,4723,0.0041,0.0055,0.0055
counting_cuckoo,500,4,4723,0.004,0.0057,0.0057
cuckoo,100,8,4723,0.0038,0.0057,0.0057
cuckoo,500,4,4723,0.0049,0.0094,0.0094
counting_cuckoo,100,8,4743,0.0047,0.0207,0.0207
counting_cuckoo,500,4,4743,0.0039,0.0057,0.0057
cuckoo,100,8,4743,0.0037,0.0056,0.0056
cuckoo,500,4,4743,0.0039,0.006,0.006
counting_cuckoo,100,8,4763,0.0041,0.0244,0.0244
counting_cuckoo,500,4,4763,0.0047,0.0059,0.0059
cuckoo,100,8,4763,0.0047,0.006,0.006
cuckoo,500,4,4763,0.0044,0.0068,0.0068
counting_cuckoo,100,8,4783,0.0066,0.0086,0.0086
counting_cuckoo,500,4,4783,0.0042,0.0061,0.0061
cuckoo,100,8,4783,0.0047,0.0059,0.0059
